0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,1,2,RICH AND LUCKY (C413),Z Purton,L Ho,120,1066,5,-,3 4 3 1,1:22.73,1.7
,,,2,7,KING DRAGON (C437),S De Sousa,K L Man,120,1078,4,3/4,2 2 1 2,1:22.87,11
,,,3,6,INVALUABLE (D091),C Schofield,R Gibson,120,1297,1,1-1/2,6 6 7 3,1:22.97,6.3
,,,4,8,KELMIMI WINS (C419),A Badel,C H Yip,120,1087,3,3-1/4,5 7 5 4,1:23.24,26
,,,5,5,VICTORY FOR ALL (C342),T H So,Y S Tsui,120,1022,2,5,4 3 4 5,1:23.51,147
,,,6,3,LUCKY QUALITY (D050),C Y Ho,C Fownes,120,1090,7,5-1/4,7 5 6 6,1:23.59,3.9
,,,7,4,WILLFUL (C047),L Hewitson,Y S Tsui,120,1114,6,10,8 8 8 7,1:24.31,65
,,,8,1,NOBLE CONSORT (C538),H W Lai,C S Shum,120,1172,8,11-1/2,1 1 2 8,1:24.55,17
,,,1,8,KEEP WINNING (B331),K C Leung,C W Chang,120,1126,8,-,10 10 5 1,1:40.41,9.3
,,,2,1,SUPER RED DRAGON (C191),C Schofield,W Y So,133,1120,5,1-1/2,6 5 3 2,1:40.66,4.4
,,,3,6,MI BLANCO (A186),A Badel,P O'Sullivan,116,1123,14,2,13 12 13 3,1:40.74,14
,,,4,5,HIDDEN SPIRIT (B130),K Teetan,P O'Sullivan,126,1155,2,2-1/2,12 13 12 4,1:40.80,6.5
,,,5,7,SKY GEM (C251),R Bayliss,C Fownes,124,1182,9,3,14 14 14 5,1:40.87,38
,,,6,10,MASTER BERNINI (A174),S De Sousa,A T Millard,117,1045,6,3,11 9 6 6,1:40.89,4.2
,,,7,14,OUR GREEN (B448),T H So,C H Yip,111,1187,4,3-1/4,7 6 4 7,1:40.92,41
,,,8,13,KEEP GOING (B231),H W Lai,Y S Tsui,113,1067,13,7,8 8 8 8,1:41.54,36
,,,9,11,SUNNY MAJOR (B298),H N Wong,D E Ferraris,113,1159,3,8-1/2,3 1 1 9,1:41.77,39
,,,10,3,CORRE RAPIDO (A053),M F Poon,R Gibson,127,1143,12,10-1/2,9 11 9 10,1:42.08,38
,,,11,2,ASSOCIATION FANS (V207),H T Mo,L Ho,127,1182,10,12-1/2,2 3 7 11,1:42.42,24
,,,12,9,TRIUMPHANT LORD (C101),G van Niekerk,C S Shum,120,1157,1,14-3/4,1 2 2 12,1:42.77,13
,,,13,12,WINNING CIRCLE (B275),M L Yeung,C W Chang,113,1148,7,16-1/4,5 7 10 13,1:43.02,7.3
,,,14,4,BOND ELEGANCE (A007),M Chadwick,D J Whyte,127,1069,11,34,4 4 11 14,1:45.84,24
,,,WV,,DRAGON WARRIOR (V202),A Badel,K H Ting,125,---,---,---,---,---,---
,,,1,4,FORTUNE BRILLIANT (C499),M Chadwick,P O'Sullivan,128,1040,4,-,7 6 1,1:10.59,22
,,,2,6,HERO STAR (D033),C Y Ho,K L Man,128,1118,3,1/2,4 4 2,1:10.68,3.3
,,,3,11,BRILLIANT (C005),K C Leung,K W Lui,119,1015,1,3/4,9 9 3,1:10.73,7.3
,,,4,13,U W BROTHER (C389),H T Mo,Y S Tsui,115,1137,6,1-1/4,3 2 4,1:10.80,34
,,,5,2,DAILY BEAUTY (D070),Z Purton,C Fownes,128,1152,14,1-1/4,13 13 5,1:10.81,31
,,,6,7,SPARKLING STAR (D007),M F Poon,W Y So,126,1104,8,1-1/4,8 7 6,1:10.81,4.4
,,,7,3,DESTINE JEWELLERY (D032),A Badel,J Size,128,1155,11,2-1/2,5 5 7,1:11.00,5.3
,,,8,12,SPICY REALLY (C021),H N Wong,F C Lor,115,1055,12,2-3/4,14 14 8,1:11.04,164
,,,9,9,MIGHTY VALOR (C338),H W Lai,P F Yiu,126,1154,10,4,11 12 9,1:11.25,23
,,,10,10,OVERSUBSCRIBED (C361),B Shinn,D J Hall,123,1125,5,5,2 1 10,1:11.40,7.3
,,,11,14,GOOD CHOICE AHEAD (V329),T H So,L Ho,115,1129,2,5-1/4,6 8 11,1:11.45,36
,,,12,8,YES WE CAN (C307),M L Yeung,T P Yung,128,1236,9,5-1/2,12 11 12,1:11.45,122
,,,13,1,MR WISEGUY (C543),L Hewitson,D J Whyte,133,1064,13,7-1/2,1 3 13,1:11.79,38
,,,14,5,GLENEALY PALS (C471),R Bayliss,C H Yip,128,1022,7,11,10 10 14,1:12.34,119
,,,1,1,CLEAR CHOICE (A426),Z Purton,C S Shum,133,1067,5,-,6 5 2 1,1:39.45,6.9
,,,2,3,BEST ALLIANCE (C284),A Badel,D J Whyte,131,1062,7,SH,11 11 8 2,1:39.45,4.1
,,,3,13,FOODIE PRINCESS (C312),T H So,W Y So,115,1252,10,1-3/4,14 14 14 3,1:39.74,22
,,,4,11,THIS ONE'S FOR YOU (B428),M L Yeung,K W Lui,121,1164,4,2-1/4,7 9 7 4,1:39.81,3.2
,,,5,4,DRAGON COMMANDER (C208),N Callan,D E Ferraris,131,1087,9,4-3/4,8 8 6 5,1:40.21,25
,,,6,14,MEGATRON (V119),M F Poon,P F Yiu,115,1123,8,6-1/4,5 2 4 6,1:40.45,29
,,,7,5,STARLIT KNIGHT (A137),S De Sousa,Y S Tsui,129,1119,14,7-1/4,13 13 11 7,1:40.62,47
,,,8,8,CALIFORNIA LEGEND (B363),K H Chan,A S Cruz,113,1124,6,8-1/2,1 1 1 8,1:40.80,8
,,,9,7,GOOD FIT (S131),K Teetan,F C Lor,126,1185,2,10-1/2,9 10 9 9,1:41.12,11
,,,10,12,GREEN GENERATION (C355),C Y Ho,D J Hall,118,1060,12,11-1/4,12 12 13 10,1:41.24,220
,,,11,6,VIVA COUNCIL (A190),M Chadwick,L Ho,127,1143,13,13,10 7 10 11,1:41.53,26
,,,12,9,WAYFOONG CHARMER (B437),C Schofield,P O'Sullivan,122,1102,11,15-1/2,2 3 3 12,1:41.94,36
,,,13,10,IMPECCABLE FELLOW (A310),K C Leung,R Gibson,121,1154,1,16,3 4 5 13,1:42.02,36
,,,14,2,TANG FLEMING (A067),H N Wong,C W Chang,129,1196,3,32-3/4,4 6 12 14,1:44.67,15
,,,1,9,SHINING GEM (C058),S De Sousa,P F Yiu,126,1148,6,-,4 6 1,1:09.72,2.4
,,,2,4,BALTIC SUCCESS (C373),G van Niekerk,C S Shum,127,1140,4,2-1/4,1 1 2,1:10.07,12
,,,3,2,BE READY (D024),C Schofield,F C Lor,131,1158,10,3-1/4,3 3 3,1:10.22,9.3
,,,4,10,DIAMOND BRILLIANT (B372),K C Leung,T P Yung,120,1170,11,4,2 2 4,1:10.38,10
,,,5,11,HARRIER JET (T372),T H So,P O'Sullivan,117,1154,3,4-1/4,7 8 5,1:10.39,73
,,,6,8,KUNG FU FIGHTER (D109),Z Purton,D J Hall,126,1262,2,4-1/2,8 7 6,1:10.42,7.1
,,,7 DH,1,INFINITY ENDEAVOUR (A030),A Badel,J Size,133,1104,13,4-1/2,14 13 7,1:10.43,16
,,,7 DH,6,HIGH RISE SOLDIER (C511),C Y Ho,K W Lui,127,1047,9,4-1/2,10 11 7,1:10.43,20
,,,9,13,SUMSTREETSUMWHERE (B283),M L Yeung,L Ho,118,1080,1,5-1/2,5 5 9,1:10.58,8.4
,,,10,5,ELIGERE (C473),H W Lai,Y S Tsui,127,1037,7,5-1/2,13 10 10,1:10.59,200
,,,11,3,FIRST RESPONDER (C205),B Shinn,J Moore,128,1146,12,6-1/4,6 4 11,1:10.70,17
,,,12,12,E MASTER (A254),L Hewitson,C Fownes,118,1126,5,7-1/2,11 12 12,1:10.91,63
,,,13,7,CALIFORNIA LEVEE (C523),K Teetan,A S Cruz,126,1277,8,8-3/4,9 9 13,1:11.11,18
,,,14,14,ARDENODE (B145),M F Poon,W Y So,115,1066,14,10-1/4,12 14 14,1:11.37,190
,,,1,4,MIGHTY GIANT (C470),H W Lai,P F Yiu,128,1232,4,-,3 3 2 1,1:22.43,3.8
,,,2,12,FANTASTIC SHOW (A207),G van Niekerk,Y S Tsui,118,1086,7,SH,9 10 10 2,1:22.44,4.1
,,,3,8,CARE FREE PRINCE (V069),K H Chan,K L Man,115,1179,11,N,1 1 1 3,1:22.48,56
,,,4,6,BREEZE OF SPRING (C309),Z Purton,L Ho,126,1055,3,2,6 6 7 4,1:22.73,3.8
,,,5,11,IRON KING (C133),M Chadwick,C H Yip,119,1073,5,2,8 7 5 5,1:22.76,14
,,,6,9,WINNING TOGETHER (B356),C Y Ho,C W Chang,122,1200,13,2-1/4,13 13 11 6,1:22.78,35
,,,7,2,SMART CHARADE (A314),K C Leung,W Y So,131,1135,6,4,10 9 8 7,1:23.05,38
,,,8,1,WINSTON'S LAD (T348),R Bayliss,K W Lui,133,1081,9,4,7 8 9 8,1:23.06,28
,,,9,3,BRIGHT KID (C060),S De Sousa,D J Whyte,128,1154,8,5-3/4,12 12 13 9,1:23.33,8.3
,,,10,14,SPEEDY WALLY (T002),H N Wong,C Fownes,113,1141,2,6-1/2,11 11 12 10,1:23.46,161
,,,11,10,GALA NIGHT (C331),N Callan,J Moore,121,1148,1,6-1/2,5 4 4 11,1:23.48,21
,,,12,5,INCANTO PREPARED (D009),A Badel,J Size,127,983,10,7,4 5 6 12,1:23.55,66
,,,13,13,HUMBLE STEED (A327),M L Yeung,T P Yung,118,1160,14,11-1/4,14 14 14 13,1:24.21,237
,,,14,7,CALIFORNIA RAD (D147),K Teetan,A S Cruz,125,1192,12,12,2 2 3 14,1:24.34,12
,,,1,7,BIG PARTY (B461),G van Niekerk,F C Lor,118,1224,7,-,4 3 1,0:55.71,2.7
,,,2,5,BIG TIME BABY (A157),M Chadwick,K L Man,123,1129,4,1-3/4,1 2 2,0:56.01,9.5
,,,3,4,THANKS FOREVER (B312),S De Sousa,J Moore,125,1240,5,2-3/4,3 4 3,0:56.15,2.3
,,,4,3,JOLLY BANNER (V077),C Schofield,P F Yiu,126,1085,3,3-1/4,6 5 4,0:56.25,9.6
,,,5,2,PREMIERE (A051),C Y Ho,K W Lui,127,1141,6,4-1/2,2 1 5,0:56.44,26
,,,6,1,REGENCY LEGEND (B348),Z Purton,C S Shum,132,1117,2,8,5 6 6,0:56.98,9.2
,,,7,6,CALIFORNIA WHIP (A114),K Teetan,A S Cruz,123,1152,1,10-1/4,7 7 7,0:57.36,15
,,,1,13,FALCON TURBO (B164),K Teetan,D J Whyte,118,1155,9,-,1 3 1 1,1:22.37,5.3
,,,2,4,MONGOLIAN KING (A098),G van Niekerk,Y S Tsui,131,1130,10,SH,6 6 3 2,1:22.40,10
,,,3,11,EVERYONE'S JOY (C225),C Schofield,F C Lor,120,1154,3,1/2,8 8 7 3,1:22.48,3.5
,,,4,14,SUCH A HAPPINESS (A152),M L Yeung,T P Yung,117,1179,13,2,10 11 11 4,1:22.69,26
,,,5,9,HANG'S DECISION (T262),K C Leung,W Y So,124,1094,5,3-1/2,11 9 9 5,1:22.94,32
,,,6,1,NAMJONG PLUS (B048),N Callan,Y S Tsui,133,1098,1,4,7 7 6 6,1:23.00,10
,,,7,5,SEERITE DRAGON (C294),Z Purton,D E Ferraris,130,1219,14,5,13 13 13 7,1:23.18,30
,,,8,12,DEFINING MOMENT (C159),M F Poon,C Fownes,116,1131,8,5-1/4,14 14 12 8,1:23.21,12
,,,9,7,BEAUTY ICON (C057),H T Mo,A S Cruz,122,1098,11,5-3/4,5 2 4 9,1:23.28,26
,,,10,3,MR WEALTH (B265),C Y Ho,K L Man,132,1168,7,8,4 5 5 10,1:23.67,12
,,,11,8,SUPER BULLET (D001),M Chadwick,P O'Sullivan,125,1095,4,10,9 10 10 11,1:23.97,49
,,,12,2,WIND N GRASS (D197),S De Sousa,J Size,133,1087,2,10-3/4,3 4 8 12,1:24.10,5.1
,,,13,6,EARTH TRILOGY (C211),L Hewitson,J Moore,126,1064,12,11-3/4,2 1 2 13,1:24.24,31
,,,14,10,SALTO OLIMPICO (A350),T H So,D J Hall,120,1113,6,12-1/2,12 12 14 14,1:24.37,188
,,,1,6,GLORIOUS ARTIST (B210),Z Purton,F C Lor,120,1124,1,-,5 8 7 1,1:38.45,4.1
,,,2,1,ELUSIVE STATE (A036),S De Sousa,A T Millard,133,1150,8,1/2,9 5 3 2,1:38.54,4
,,,3,11,BUDDIES (C019),G van Niekerk,J Moore,116,1197,10,3-1/2,1 2 1 3,1:39.02,5.8
,,,4,10,RAGING BLITZKRIEG (B147),A Badel,J Size,117,1121,2,5,2 7 4 4,1:39.24,7.1
,,,5,8,PLAYA DEL PUENTE (C492),C Y Ho,C S Shum,119,1093,13,6-1/4,10 9 10 5,1:39.45,8.7
,,,6,4,GREEN LUCK (B413),M F Poon,C Fownes,122,1080,6,6-1/2,12 12 12 6,1:39.48,33
,,,7,7,MORETHANLUCKY (A039),M Chadwick,F C Lor,120,1222,9,7-1/2,6 3 2 7,1:39.64,78
,,,8,13,SAVVY NINE (D056),L Hewitson,J Moore,115,1105,11,10-1/2,11 10 11 8,1:40.14,77
,,,9,2,GUNNISON (A377),B Shinn,J Size,127,1011,3,11,4 4 8 9,1:40.19,9.8
,,,10,5,TURIN REDSTAR (B092),K C Leung,L Ho,123,1152,5,11-3/4,7 6 6 10,1:40.35,22
,,,11,3,UGLY WARRIOR (B083),N Callan,Y S Tsui,125,1003,7,14,8 11 9 11,1:40.69,23
,,,12,12,BRAVE LEGEND (A260),K Teetan,A S Cruz,113,1190,12,14-3/4,13 13 13 12,1:40.80,64
,,,13,9,CIRCUIT GLORY (A402),K H Chan,A S Cruz,108,1048,4,31-1/2,3 1 5 13,1:43.49,31
,,,1,7,LAST KINGDOM (B203),L Hewitson,D J Whyte,125,1048,8,-,1 1 1 1,1:40.09,25
,,,2,14,TRAVEL FIRST (T098),C Y Ho,C W Chang,118,1206,9,N,4 4 6 2,1:40.13,12
,,,3,11,RIGHTEOUS DOCTRINE (C197),A Badel,C W Chang,119,1146,6,N,11 11 11 3,1:40.15,3.9
,,,4,6,VOLPINO (B161),Z Purton,T P Yung,127,1131,3,1-1/4,7 7 7 4,1:40.30,10
,,,5,3,HAPPY SEBRING (B189),K Teetan,A S Cruz,132,1160,13,2-1/2,12 12 9 5,1:40.49,8.9
,,,6,10,ENFOLDING (B353),S De Sousa,C Fownes,122,1089,11,2-3/4,13 13 13 6,1:40.51,15
,,,7,2,ENDEARING (V338),N Callan,J Moore,132,1109,10,2-3/4,2 2 2 7,1:40.51,33
,,,8,5,HOLY HEART (C443),M L Yeung,K W Lui,127,1091,5,3-3/4,10 8 8 8,1:40.69,5.1
,,,9,9,NATURAL WINNER (C489),M Chadwick,R Gibson,124,1281,1,3-3/4,6 6 3 9,1:40.69,102
,,,10,13,GENERAL DINO (A193),G van Niekerk,D E Ferraris,118,1060,12,4-1/2,9 10 10 10,1:40.82,13
,,,11,12,DEAL MAKER (B023),C Schofield,K H Ting,118,1157,4,4-3/4,5 5 4 11,1:40.83,5.8
,,,12,8,MONGOLIAN LEGEND (B317),H W Lai,Y S Tsui,125,1163,2,7-1/4,8 9 12 12,1:41.25,16
,,,13,1,SOLOMON'S BAY (B330),K C Leung,F C Lor,133,1027,7,10-1/4,3 3 5 13,1:41.71,74
,,,14,4,SACRED IBIS (A127),B Shinn,P O'Sullivan,131,1179,14,13,14 14 14 14,1:42.16,69
